CWND_LOG: TIME: 7, CWND: 1.00, SSTHRESH: 32
CWND_LOG: TIME: 1805, CWND: 2.00, SSTHRESH: 32
CWND_LOG: TIME: 2334, CWND: 4.00, SSTHRESH: 32
CWND_LOG: TIME: 2895, CWND: 8.00, SSTHRESH: 32
CWND_LOG: TIME: 3490, CWND: 16.00, SSTHRESH: 32
CWND_LOG: TIME: 3640, CWND: 28.00, SSTHRESH: 32
CWND_LOG: TIME: 3676, CWND: 14.00, SSTHRESH: 14
CWND_LOG: TIME: 4300, CWND: 15.00, SSTHRESH: 14
CWND_LOG: TIME: 5036, CWND: 16.00, SSTHRESH: 14
CWND_LOG: TIME: 5712, CWND: 17.00, SSTHRESH: 14
CWND_LOG: TIME: 6406, CWND: 18.00, SSTHRESH: 14
CWND_LOG: TIME: 7106, CWND: 19.00, SSTHRESH: 14
CWND_LOG: TIME: 7816, CWND: 20.00, SSTHRESH: 14
CWND_LOG: TIME: 8525, CWND: 20.95, SSTHRESH: 14
CWND_LOG: TIME: 8553, CWND: 10.00, SSTHRESH: 10
CWND_LOG: TIME: 9123, CWND: 11.00, SSTHRESH: 10
CWND_LOG: TIME: 9738, CWND: 12.00, SSTHRESH: 10
CWND_LOG: TIME: 10364, CWND: 13.00, SSTHRESH: 10
CWND_LOG: TIME: 10999, CWND: 14.00, SSTHRESH: 10
CWND_LOG: TIME: 11026, CWND: 14.07, SSTHRESH: 10
CWND_LOG: TIME: 11058, CWND: 7.00, SSTHRESH: 7
CWND_LOG: TIME: 11583, CWND: 8.00, SSTHRESH: 7
CWND_LOG: TIME: 12167, CWND: 9.00, SSTHRESH: 7
CWND_LOG: TIME: 12760, CWND: 10.00, SSTHRESH: 7
CWND_LOG: TIME: 13365, CWND: 11.00, SSTHRESH: 7
CWND_LOG: TIME: 13979, CWND: 12.00, SSTHRESH: 7
CWND_LOG: TIME: 14606, CWND: 13.00, SSTHRESH: 7
CWND_LOG: TIME: 15250, CWND: 14.00, SSTHRESH: 7
CWND_LOG: TIME: 15902, CWND: 15.00, SSTHRESH: 7
CWND_LOG: TIME: 16563, CWND: 16.00, SSTHRESH: 7
CWND_LOG: TIME: 17231, CWND: 17.00, SSTHRESH: 7
CWND_LOG: TIME: 17914, CWND: 18.00, SSTHRESH: 7
CWND_LOG: TIME: 18607, CWND: 19.00, SSTHRESH: 7
CWND_LOG: TIME: 19319, CWND: 20.00, SSTHRESH: 7
CWND_LOG: TIME: 20031, CWND: 21.00, SSTHRESH: 7
CWND_LOG: TIME: 20763, CWND: 22.00, SSTHRESH: 7
CWND_LOG: TIME: 21509, CWND: 23.00, SSTHRESH: 7
CWND_LOG: TIME: 21555, CWND: 23.13, SSTHRESH: 7
CWND_LOG: TIME: 21589, CWND: 11.00, SSTHRESH: 11
CWND_LOG: TIME: 22157, CWND: 12.00, SSTHRESH: 11
CWND_LOG: TIME: 22785, CWND: 13.00, SSTHRESH: 11
CWND_LOG: TIME: 23426, CWND: 14.00, SSTHRESH: 11
CWND_LOG: TIME: 24078, CWND: 15.00, SSTHRESH: 11
CWND_LOG: TIME: 24743, CWND: 16.00, SSTHRESH: 11
CWND_LOG: TIME: 25417, CWND: 17.00, SSTHRESH: 11
CWND_LOG: TIME: 26106, CWND: 18.00, SSTHRESH: 11
CWND_LOG: TIME: 26844, CWND: 19.00, SSTHRESH: 11
CWND_LOG: TIME: 27555, CWND: 20.00, SSTHRESH: 11
CWND_LOG: TIME: 28280, CWND: 21.00, SSTHRESH: 11
CWND_LOG: TIME: 29015, CWND: 22.00, SSTHRESH: 11
CWND_LOG: TIME: 29145, CWND: 22.45, SSTHRESH: 11
CWND_LOG: TIME: 29181, CWND: 11.00, SSTHRESH: 11
